,Season,Name,xK%,K%,Deviation,Deviation%
0,2015,Bryce Harper,21.365,20.0,1.365,6.825
1,2013,Miguel Cabrera,15.912,14.4,1.512,10.5
2,2018,Mookie Betts,15.409,14.8,0.609,4.115
3,2018,Mike Trout,20.185,20.4,-0.215,-1.054
4,2010,Josh Hamilton,18.394,16.6,1.794,10.807
5,2011,Jose Bautista,19.459,16.9,2.559,15.142
6,2019,Christian Yelich,21.98,20.3,1.68,8.276
7,2010,Joey Votto,20.028,19.3,0.728,3.772
8,2011,Miguel Cabrera,13.975,12.9,1.075,8.333
9,2017,Mike Trout,19.125,17.8,1.325,7.444
10,2019,Mike Trout,19.646,20.0,-0.354,-1.77
11,2010,Miguel Cabrera,15.634,14.7,0.934,6.354
12,2017,Aaron Judge,31.109,30.7,0.409,1.332
13,2017,Joey Votto,12.873,11.7,1.173,10.026
14,2018,J.D. Martinez,23.017,22.5,0.517,2.298
15,2015,Joey Votto,20.728,19.4,1.328,6.845
16,2011,Ryan Braun,16.313,14.8,1.513,10.223
17,2013,Mike Trout,18.448,19.0,-0.552,-2.905
18,2018,Christian Yelich,20.272,20.7,-0.428,-2.068
19,2010,Jose Bautista,18.984,17.0,1.984,11.671
20,2013,Chris Davis,26.795,29.6,-2.805,-9.476
21,2016,David Ortiz,14.476,13.7,0.776,5.664
22,2010,Albert Pujols,12.781,10.9,1.881,17.257
23,2019,Alex Bregman,13.734,12.0,1.734,14.45
24,2016,Mike Trout,20.704,20.1,0.604,3.005
25,2015,Paul Goldschmidt,21.503,21.7,-0.197,-0.908
26,2019,Nelson Cruz,25.52,25.1,0.42,1.673
27,2012,Miguel Cabrera,14.255,14.1,0.155,1.099
28,2010,Paul Konerko,19.226,17.4,1.826,10.494
29,2019,Cody Bellinger,19.281,16.4,2.881,17.567
30,2015,Mike Trout,21.973,23.2,-1.227,-5.289
31,2017,Charlie Blackmon,18.111,18.6,-0.489,-2.629
32,2015,Miguel Cabrera,18.556,16.0,2.556,15.975
33,2012,Ryan Braun,18.329,18.9,-0.571,-3.021
34,2016,Joey Votto,17.604,17.7,-0.096,-0.542
35,2011,Matt Kemp,23.757,23.1,0.657,2.844
36,2010,Carlos Gonzalez,19.454,21.2,-1.746,-8.236
37,2019,Anthony Rendon,13.967,13.3,0.667,5.015
38,2014,Andrew McCutchen,19.718,17.7,2.018,11.401
39,2014,Victor Martinez,9.679,6.6,3.079,46.652
40,2014,Jose Abreu,22.509,21.1,1.409,6.678
41,2017,Giancarlo Stanton,23.776,23.6,0.176,0.746
42,2011,Prince Fielder,16.976,15.3,1.676,10.954
43,2012,Mike Trout,20.186,21.8,-1.614,-7.404
44,2016,Daniel Murphy,8.633,9.8,-1.167,-11.908
45,2011,Lance Berkman,16.465,15.8,0.665,4.209
46,2011,Adrian Gonzalez,16.05,16.6,-0.55,-3.313
47,2011,David Ortiz,15.089,13.7,1.389,10.139
48,2017,Freddie Freeman,18.611,18.5,0.111,0.6
49,2010,Troy Tulowitzki,11.953,14.7,-2.747,-18.687
50,2012,Buster Posey,16.375,15.7,0.675,4.299
51,2011,Joey Votto,19.061,17.9,1.161,6.486
52,2012,Giancarlo Stanton,27.533,28.5,-0.967,-3.393
53,2017,Jose Altuve,12.91,12.7,0.21,1.654
54,2019,Ketel Marte,14.255,13.7,0.555,4.051
55,2013,Paul Goldschmidt,20.662,20.4,0.262,1.284
56,2014,Giancarlo Stanton,26.342,26.6,-0.258,-0.97
57,2016,Josh Donaldson,20.877,17.0,3.877,22.806
58,2012,Andrew McCutchen,19.971,19.6,0.371,1.893
59,2013,Jayson Werth,20.326,19.0,1.326,6.979
60,2014,Mike Trout,22.737,26.1,-3.363,-12.885
61,2014,Jose Bautista,17.098,14.3,2.798,19.566
62,2016,Freddie Freeman,23.608,24.7,-1.092,-4.421
63,2019,George Springer,22.882,20.3,2.582,12.719
64,2017,Paul Goldschmidt,24.61,22.1,2.51,11.357
65,2013,Troy Tulowitzki,14.791,16.6,-1.809,-10.898
66,2013,Joey Votto,19.194,19.0,0.194,1.021
67,2011,Jacoby Ellsbury,14.083,13.4,0.683,5.097
68,2013,David Ortiz,15.676,14.7,0.976,6.639
69,2017,Justin Turner,12.035,10.3,1.735,16.845
70,2017,Kris Bryant,20.212,19.2,1.012,5.271
71,2016,Miguel Cabrera,17.514,17.1,0.414,2.421
72,2012,Prince Fielder,14.869,12.2,2.669,21.877
73,2017,Tommy Pham,20.582,22.1,-1.518,-6.869
74,2015,Josh Donaldson,20.576,18.7,1.876,10.032
75,2010,Matt Holliday,15.781,13.8,1.981,14.355
76,2014,Anthony Rizzo,20.309,18.8,1.509,8.027
77,2017,Jose Ramirez,12.025,10.7,1.325,12.383
78,2016,Kris Bryant,23.225,22.0,1.225,5.568
79,2013,Michael Cuddyer,19.62,18.5,1.12,6.054
80,2015,Nelson Cruz,25.332,25.0,0.332,1.328
81,2012,Edwin Encarnacion,17.439,14.6,2.839,19.445
82,2010,Jayson Werth,23.086,22.5,0.586,2.604
83,2018,Alex Bregman,12.195,12.1,0.095,0.785
84,2017,Nolan Arenado,18.104,15.6,2.504,16.051
85,2011,Matt Holliday,19.671,18.0,1.671,9.283
86,2012,Robinson Cano,12.793,13.8,-1.007,-7.297
87,2017,Anthony Rendon,16.107,13.6,2.507,18.434
88,2019,Juan Soto,21.431,20.0,1.431,7.155
89,2016,Charlie Blackmon,16.66,15.9,0.76,4.78
90,2011,Curtis Granderson,24.151,24.5,-0.349,-1.424
91,2013,Andrew McCutchen,16.734,15.0,1.734,11.56
92,2013,Shin-Soo Choo,21.151,18.7,2.451,13.107
93,2017,Zack Cozart,17.496,15.4,2.096,13.61
94,2019,Nolan Arenado,15.537,14.0,1.537,10.979
95,2015,Edwin Encarnacion,19.0,15.7,3.3,21.019
96,2016,DJ LeMahieu,13.507,12.6,0.907,7.198
97,2018,Jose Ramirez,13.593,11.5,2.093,18.2
98,2016,Anthony Rizzo,17.467,16.0,1.467,9.169
99,2010,Robinson Cano,9.806,11.1,-1.294,-11.658
100,2010,Adrian Beltre,14.704,12.8,1.904,14.875
101,2011,Carlos Beltran,12.94,14.7,-1.76,-11.973
102,2018,Nolan Arenado,19.793,18.1,1.693,9.354
103,2016,Jose Altuve,9.919,9.8,0.119,1.214
104,2011,Michael Morse,21.471,21.9,-0.429,-1.959
105,2018,Paul Goldschmidt,25.126,25.1,0.026,0.104
106,2019,Anthony Rizzo,17.437,14.0,3.437,24.55
107,2015,Chris Davis,29.781,31.0,-1.219,-3.932
108,2010,Ryan Zimmerman,17.255,16.3,0.955,5.859
109,2019,Xander Bogaerts,20.316,17.5,2.816,16.091
110,2011,Troy Tulowitzki,10.198,13.0,-2.802,-21.554
111,2014,Edwin Encarnacion,17.654,15.1,2.554,16.914
112,2014,Michael Brantley,5.523,8.3,-2.777,-33.458
113,2015,Jose Bautista,18.251,15.9,2.351,14.786
114,2017,Marcell Ozuna,22.168,21.2,0.968,4.566
115,2013,Edwin Encarnacion,13.364,10.0,3.364,33.64
116,2012,Adrian Beltre,14.385,12.5,1.885,15.08
117,2017,Ryan Zimmerman,20.368,21.9,-1.532,-6.995
118,2013,Freddie Freeman,17.967,19.2,-1.233,-6.422
119,2019,Charlie Blackmon,16.993,16.4,0.593,3.616
120,2019,Freddie Freeman,18.901,18.4,0.501,2.723
121,2010,Luke Scott,21.419,19.0,2.419,12.732
122,2012,Melky Cabrera,10.159,12.6,-2.441,-19.373
123,2012,Josh Hamilton,27.428,25.5,1.928,7.561
124,2010,Aubrey Huff,14.714,13.6,1.114,8.191
125,2019,J.D. Martinez,21.941,21.0,0.941,4.481
126,2010,Shin-Soo Choo,18.908,18.3,0.608,3.322
127,2016,Nolan Arenado,17.138,14.8,2.338,15.797
128,2011,Justin Upton,21.283,18.7,2.583,13.813
129,2018,Brandon Nimmo,27.242,26.2,1.042,3.977
130,2017,Nelson Cruz,24.166,21.7,2.466,11.364
131,2017,Daniel Murphy,11.267,13.0,-1.733,-13.331
132,2011,Paul Konerko,15.836,13.9,1.936,13.928
133,2019,Jeff McNeil,15.226,13.2,2.026,15.348
134,2019,Pete Alonso,25.149,26.4,-1.251,-4.739
135,2013,Josh Donaldson,18.569,16.5,2.069,12.539
136,2013,Robinson Cano,11.862,12.5,-0.638,-5.104
137,2015,Anthony Rizzo,16.506,15.0,1.506,10.04
138,2018,Trevor Story,21.824,25.6,-3.776,-14.75
139,2014,Miguel Cabrera,17.91,17.1,0.81,4.737
140,2011,Albert Pujols,8.856,8.9,-0.044,-0.494
141,2012,Aramis Ramirez,15.253,13.0,2.253,17.331
142,2016,J.D. Martinez,24.089,24.8,-0.711,-2.867
143,2011,Alex Avila,23.513,23.8,-0.287,-1.206
144,2016,Nelson Cruz,25.161,23.8,1.361,5.718
145,2013,Joe Mauer,18.175,17.5,0.675,3.857
146,2018,Anthony Rendon,15.019,13.7,1.319,9.628
147,2013,Matt Holliday,16.187,14.3,1.887,13.196
148,2011,Alex Gordon,19.286,20.1,-0.814,-4.05
149,2010,David Ortiz,22.992,23.9,-0.908,-3.799
150,2016,Paul Goldschmidt,21.482,21.3,0.182,0.854
151,2017,Marwin Gonzalez,19.831,19.2,0.631,3.286
152,2010,Dan Uggla,23.814,22.1,1.714,7.756
153,2011,Giancarlo Stanton,27.492,27.6,-0.108,-0.391
154,2013,Matt Carpenter,14.822,13.7,1.122,8.19
155,2010,Prince Fielder,20.581,19.3,1.281,6.637
156,2010,Adam Dunn,28.379,30.7,-2.321,-7.56
157,2011,Adrian Beltre,12.72,10.1,2.62,25.941
158,2019,Eugenio Suarez,27.611,28.5,-0.889,-3.119
159,2019,Mookie Betts,15.243,14.3,0.943,6.594
160,2015,Andrew McCutchen,21.423,19.4,2.023,10.428
161,2019,Trevor Story,23.759,26.5,-2.741,-10.343
162,2014,Adrian Beltre,13.81,12.1,1.71,14.132
163,2012,Josh Willingham,23.794,22.9,0.894,3.904
164,2017,Cody Bellinger,26.057,26.6,-0.543,-2.041
165,2015,David Peralta,19.962,20.7,-0.738,-3.565
166,2017,Anthony Rizzo,16.77,13.0,3.77,29.0
167,2011,Carlos Gonzalez,18.996,19.4,-0.404,-2.082
168,2019,Carlos Santana,17.05,15.7,1.35,8.599
169,2019,Austin Meadows,22.562,22.2,0.362,1.631
170,2019,Kris Bryant,23.654,22.9,0.754,3.293
171,2014,Yasiel Puig,19.231,19.4,-0.169,-0.871
172,2010,Adrian Gonzalez,18.647,16.5,2.147,13.012
173,2019,Yoan Moncada,27.502,27.5,0.002,0.007
174,2016,Mookie Betts,10.758,11.0,-0.242,-2.2
